Months,SST
2009-12-01T00:00:00.000000000,1.2945423
2010-01-01T00:00:00.000000000,1.0253525
2010-02-01T00:00:00.000000000,0.97449875
2010-03-01T00:00:00.000000000,1.1530476
2010-04-01T00:00:00.000000000,1.1735821
2010-05-01T00:00:00.000000000,0.68218803
2010-06-01T00:00:00.000000000,0.005161285
2010-07-01T00:00:00.000000000,-0.81437874
2010-08-01T00:00:00.000000000,-1.5653076
2010-09-01T00:00:00.000000000,-1.911911
2010-10-01T00:00:00.000000000,-2.0084496
2010-11-01T00:00:00.000000000,-1.9764156
2010-12-01T00:00:00.000000000,-2.040678
2011-01-01T00:00:00.000000000,-2.0210743
2011-02-01T00:00:00.000000000,-1.3757992
2011-03-01T00:00:00.000000000,-0.6557846
2011-04-01T00:00:00.000000000,0.032417297
2011-05-01T00:00:00.000000000,0.38020706
2011-06-01T00:00:00.000000000,0.3150463
2011-07-01T00:00:00.000000000,-0.16728401
2011-08-01T00:00:00.000000000,-0.8226929
2011-09-01T00:00:00.000000000,-1.1152248
2011-10-01T00:00:00.000000000,-1.3663063
2011-11-01T00:00:00.000000000,-1.5128269
2011-12-01T00:00:00.000000000,-1.4932327
2012-01-01T00:00:00.000000000,-1.353836
2012-02-01T00:00:00.000000000,-0.94898224
2012-03-01T00:00:00.000000000,-0.35657692
2012-04-01T00:00:00.000000000,0.2874279
2012-05-01T00:00:00.000000000,0.575655
2012-06-01T00:00:00.000000000,0.70960426
2012-07-01T00:00:00.000000000,0.49936485
2012-08-01T00:00:00.000000000,0.27808762
2012-09-01T00:00:00.000000000,0.055765152
2012-10-01T00:00:00.000000000,-0.06283188
2012-11-01T00:00:00.000000000,-0.18346786
2012-12-01T00:00:00.000000000,-0.6951618
2013-01-01T00:00:00.000000000,-1.0068665
2013-02-01T00:00:00.000000000,-0.7856865
2013-03-01T00:00:00.000000000,0.005397797
2013-04-01T00:00:00.000000000,0.5389404
2013-05-01T00:00:00.000000000,0.49692726
2013-06-01T00:00:00.000000000,0.26016426
2013-07-01T00:00:00.000000000,-0.13897324
2013-08-01T00:00:00.000000000,-0.56552124
2013-09-01T00:00:00.000000000,-0.5018177
